generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,total_fixed_bw,total_fixed_bw75,total_newly_fixed,total_freq,fix_rate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,2,5,8,10,13,22,9,14,14,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,2,3,1,1,4,8,7,7,2,15,9,8,13,7,5,3,1,2,4,1,0,2,0,1,0,0,0,0,0,0,0,0
3,0,0,0,2,0,1,1,2,3,5,3,4,9,8,8,9,8,6,7,4,7,2,5,2,2,2,2,3,0,0,1,1,0,0,0,0,0,0
4,0,0,0,2,0,2,1,5,4,6,8,6,6,2,5,8,9,3,3,7,4,3,3,6,4,2,2,2,0,1,2,0,1,0,1,1,107,0.0093
5,0,0,1,1,2,3,5,3,6,5,1,6,4,5,4,4,5,10,7,5,3,4,3,2,1,4,5,3,1,0,2,0,1,0,2,1,106,0.0094
6,1,1,2,1,2,2,3,6,2,10,7,2,4,4,7,4,9,4,2,1,4,6,7,0,4,0,3,3,2,0,1,0,1,1,3,2,105,0.019
7,2,2,1,0,0,1,5,5,7,5,2,4,3,5,12,5,5,5,4,5,1,1,3,1,2,5,1,2,7,1,1,0,0,3,3,2,103,0.0194
8,2,0,1,1,2,3,4,4,2,10,3,4,3,4,5,8,6,6,3,2,2,5,3,1,3,1,0,0,3,2,3,3,2,5,5,4,101,0.0396
9,0,1,2,5,3,2,1,3,5,3,7,7,5,3,4,2,5,4,2,1,4,4,3,3,1,3,3,2,3,1,1,3,1,5,6,1,97,0.0103
10,2,2,4,3,5,0,3,1,4,2,3,2,4,5,3,4,3,6,7,4,5,2,1,5,1,2,2,1,2,2,2,2,2,7,8,4,96,0.0417
11,4,1,1,3,6,3,5,2,1,2,1,3,2,2,3,5,4,2,3,5,3,4,5,5,2,2,0,2,2,2,2,3,2,11,10,6,92,0.0652
12,1,1,0,4,6,2,2,4,2,2,1,3,0,6,3,5,1,4,4,2,4,5,3,2,4,3,0,1,2,1,0,1,7,12,17,8,86,0.093
13,0,4,3,3,4,0,3,3,2,4,1,3,3,0,2,1,7,5,4,3,4,2,1,2,1,2,2,2,2,1,2,1,1,12,18,1,78,0.0128
14,3,6,1,5,2,0,3,1,2,2,4,1,3,3,3,1,6,3,5,2,2,0,0,1,2,2,3,2,1,2,3,0,3,15,21,6,77,0.0779
15,3,4,4,2,3,3,0,0,1,1,5,2,5,3,1,4,4,1,1,0,2,2,0,1,2,1,6,0,2,2,1,3,2,18,23,5,71,0.0704
16,5,0,2,4,1,3,2,1,1,2,1,2,2,7,1,2,2,3,3,2,2,0,1,0,2,0,2,0,4,3,1,3,2,23,25,7,66,0.1061
17,3,0,1,4,1,2,4,1,4,1,0,0,3,3,3,2,3,1,2,2,2,0,2,2,1,2,1,2,1,2,2,1,1,26,26,4,59,0.0678
18,1,3,1,3,1,4,2,0,0,3,1,1,1,4,2,3,1,3,2,0,2,2,3,0,3,1,3,0,0,1,1,1,2,27,28,3,55,0.0545
19,3,2,0,3,1,2,0,5,2,3,1,1,1,5,2,0,0,2,0,2,2,3,2,1,2,2,1,0,0,0,0,4,0,30,28,3,52,0.0577
