0,Series,Generations,P,Hetero_exp,Hetero_obs,Var_theor,Var_including,Var_excluding
1,1,0,2,1,1,0,0,0
2,1,1,1,0.5,0.514,0.014,0.006,0.006
3,1,2,1,0.5,0.464,0.027,0.026,0.026
4,1,3,0.94,0.47,0.504,0.039,0.031,0.031
5,1,4,0.9,0.45,0.456,0.051,0.042,0.042
6,1,5,0.85,0.425,0.448,0.062,0.05,0.048
7,1,6,0.8,0.4,0.428,0.073,0.055,0.051
8,1,7,0.76,0.38,0.403,0.082,0.062,0.054
9,1,8,0.72,0.36,0.402,0.092,0.072,0.062
10,1,9,0.68,0.34,0.358,0.101,0.083,0.066
11,1,10,0.65,0.325,0.348,0.109,0.09,0.071
12,1,11,0.61,0.305,0.325,0.117,0.105,0.081
13,1,12,0.58,0.29,0.305,0.124,0.112,0.077
14,1,13,0.55,0.275,0.263,0.131,0.123,0.073
15,1,14,0.52,0.26,0.255,0.138,0.136,0.089
16,1,15,0.49,0.245,0.216,0.144,0.14,0.096
17,1,16,0.47,0.235,0.202,0.15,0.155,0.095
18,1,17,0.44,0.22,0.21,0.155,0.16,0.084
19,1,18,0.42,0.21,0.197,0.161,0.165,0.082
20,1,19,0.4,0.2,0.183,0.166,0.17,0.081
21,2,0,2,0.1,1,0,0,0
22,2,1,1,0.5,0.492,0.011,0.009,0.009
23,2,2,1,0.5,0.529,0.021,0.018,0.018
24,2,3,0.96,0.48,0.485,0.031,0.024,0.024
25,2,4,0.92,0.46,0.451,0.041,0.03,0.03
26,2,5,0.88,0.44,0.427,0.05,0.045,0.05
27,2,6,0.84,0.42,0.426,0.059,0.052,0.05
28,2,7,0.81,0.405,0.408,0.067,0.06,0.058
29,2,8,0.77,0.385,0.38,0.075,0.07,0.065
30,2,9,0.74,0.37,0.391,0.083,0.072,0.059
31,2,10,0.71,0.355,0.386,0.09,0.076,0.059
32,2,11,0.68,0.34,0.346,0.097,0.084,0.064
33,2,12,0.65,0.325,0.331,0.103,0.094,0.074
34,2,13,0.63,0.315,0.325,0.11,0.101,0.079
35,2,14,0.6,0.3,0.313,0.116,0.105,0.075
36,2,15,0.57,0.285,0.28,0.122,0.117,0.078
37,2,16,0.55,0.275,0.275,0.127,0.122,0.079
38,2,17,0.53,0.265,0.243,0.133,0.133,0.088
39,2,18,0.51,0.255,0.249,0.138,0.139,0.089
40,2,19,0.48,0.24,0.21,0.143,0.144,0.077
